2017,,,,,,,,,2018,,,,,,,,,2019,,,,,,,
Day Order,Season,Day of Week,Period,Time,Date,Column1,Hour,,Day Order,Season,Day of Week,Period,Time,Date,Column1,Hour,,Day Order,Season,Day of Week,Period,Time,Date,Column1,Column2
93,1,1,4,10.2379,4/3/2017,15,3:00 PM,,79,1,2,1,15.4909,3/20/2018,6,6:00 AM,,79,1,3,2,11.7718,3/20/2019,9,9:00 AM
94,1,2,3,8.42834,4/4/2017,12,12:00 PM,,83,1,6,3,11.9224,3/24/2018,12,12:00 PM,,80,1,4,1,11.1832,3/21/2019,6,6:00 AM
101,1,2,4,12.3956,4/11/2017,15,3:00 PM,,85,1,1,4,12.1143,3/26/2018,15,3:00 PM,,80,1,4,1,14.7587,3/21/2019,6,6:00 AM
103,1,4,1,17.2258,4/13/2017,6,6:00 AM,,88,1,4,3,17.2712,3/29/2018,12,12:00 PM,,87,1,4,2,10.7507,3/28/2019,9,9:00 AM
105,1,6,3,8.33382,4/15/2017,12,12:00 PM,,88,1,4,2,21.1291,3/29/2018,9,9:00 AM,,89,1,6,4,16.177,3/30/2019,15,3:00 PM
105,1,6,2,13.5863,4/15/2017,9,9:00 AM,,94,1,3,1,17.5633,4/4/2018,6,6:00 AM,,91,1,1,4,12.6809,4/1/2019,15,3:00 PM
109,1,3,2,13.4243,4/19/2017,9,9:00 AM,,97,1,6,3,12.4506,4/7/2018,12,12:00 PM,,93,1,3,2,17.2728,4/3/2019,9,9:00 AM
114,1,1,2,14.5937,4/24/2017,9,9:00 AM,,103,1,5,1,9.27709,4/13/2018,6,6:00 AM,,96,1,6,3,9.9004,4/6/2019,12,12:00 PM
115,1,2,2,14.7872,4/25/2017,9,9:00 AM,,104,1,6,1,9.35797,4/14/2018,6,6:00 AM,,100,1,3,1,13.6308,4/10/2019,6,6:00 AM
115,1,2,2,18.7175,4/25/2017,9,9:00 AM,,104,1,6,1,10.6182,4/14/2018,6,6:00 AM,,101,1,4,1,12.433,4/11/2019,6,6:00 AM
117,1,4,4,20.4355,4/27/2017,15,3:00 PM,,104,1,6,3,16.021,4/14/2018,12,12:00 PM,,101,1,4,2,12.7808,4/11/2019,9,9:00 AM
118,1,5,3,9.90222,4/28/2017,12,12:00 PM,,104,1,6,2,16.4449,4/14/2018,9,9:00 AM,,106,1,2,4,15.9133,4/16/2019,15,3:00 PM
121,2,1,3,13.0055,5/1/2017,12,12:00 PM,,110,1,5,1,15.3602,4/20/2018,6,6:00 AM,,113,1,2,1,11.6697,4/23/2019,6,6:00 AM
122,2,2,2,14.1083,5/2/2017,9,9:00 AM,,111,1,6,3,10.6837,4/21/2018,12,12:00 PM,,117,1,6,3,14.8643,4/27/2019,12,12:00 PM
125,2,5,3,9.73947,5/5/2017,12,12:00 PM,,127,2,1,1,14.057,5/7/2018,6,6:00 AM,,123,2,5,4,18.7988,5/3/2019,15,3:00 PM
126,2,6,4,12.4295,5/6/2017,15,3:00 PM,,128,2,2,4,10.5271,5/8/2018,15,3:00 PM,,124,2,6,4,15.8103,5/4/2019,15,3:00 PM
128,2,1,1,7.567,5/8/2017,6,6:00 AM,,130,2,4,4,17.6951,5/10/2018,15,3:00 PM,,128,2,3,1,12.1389,5/8/2019,6,6:00 AM
128,2,1,3,12.5883,5/8/2017,12,12:00 PM,,132,2,6,3,9.27898,5/12/2018,12,12:00 PM,,129,2,4,1,8.75655,5/9/2019,6,6:00 AM
129,2,2,4,12.6892,5/9/2017,15,3:00 PM,,135,2,2,4,11.9528,5/15/2018,15,3:00 PM,,134,2,2,2,10.9966,5/14/2019,9,9:00 AM
130,2,3,2,12.3066,5/10/2017,9,9:00 AM,,138,2,5,3,8.12238,5/18/2018,12,12:00 PM,,135,2,3,2,10.2874,5/15/2019,9,9:00 AM
131,2,4,4,10.1115,5/11/2017,15,3:00 PM,,141,2,1,1,11.9592,5/21/2018,6,6:00 AM,,136,2,4,4,14.0078,5/16/2019,15,3:00 PM
132,2,5,3,11.181,5/12/2017,12,12:00 PM,,141,2,1,1,12.5586,5/21/2018,6,6:00 AM,,138,2,6,4,11.2362,5/18/2019,15,3:00 PM
140,2,6,4,12.5018,5/20/2017,15,3:00 PM,,143,2,3,3,10.0786,5/23/2018,12,12:00 PM,,142,2,3,3,7.429,5/22/2019,12,12:00 PM
142,2,1,1,12.4837,5/22/2017,6,6:00 AM,,148,2,1,3,7.99918,5/28/2018,12,12:00 PM,,143,2,4,4,13.5899,5/23/2019,15,3:00 PM
143,2,2,2,15.2648,5/23/2017,9,9:00 AM,,151,2,4,2,14.1569,5/31/2018,9,9:00 AM,,144,2,5,2,15.6927,5/24/2019,9,9:00 AM
154,2,6,1,8.53991,6/3/2017,6,6:00 AM,,156,2,2,4,11.4335,6/5/2018,15,3:00 PM,,149,2,3,2,12.3832,5/29/2019,9,9:00 AM
154,2,6,4,10.6938,6/3/2017,15,3:00 PM,,156,2,2,2,13.6952,6/5/2018,9,9:00 AM,,149,2,3,2,13.1679,5/29/2019,9,9:00 AM
157,2,2,1,10.5389,6/6/2017,6,6:00 AM,,160,2,6,3,10.1029,6/9/2018,12,12:00 PM,,152,2,6,1,13.112,6/1/2019,6,6:00 AM
163,2,1,2,14.5637,6/12/2017,9,9:00 AM,,162,2,1,1,9.84272,6/11/2018,6,6:00 AM,,154,2,1,1,9.91764,6/3/2019,6,6:00 AM
165,2,3,1,8.62367,6/14/2017,6,6:00 AM,,162,2,1,2,13.3423,6/11/2018,9,9:00 AM,,154,2,1,2,14.7604,6/3/2019,9,9:00 AM
165,2,3,1,12.5026,6/14/2017,6,6:00 AM,,163,2,2,1,8.21355,6/12/2018,6,6:00 AM,,156,2,3,2,8.6223,6/5/2019,9,9:00 AM
165,2,3,4,16.1821,6/14/2017,15,3:00 PM,,165,2,4,3,9.32536,6/14/2018,12,12:00 PM,,156,2,3,1,15.5416,6/5/2019,6,6:00 AM
166,2,4,4,15.2613,6/15/2017,15,3:00 PM,,166,2,5,1,9.87576,6/15/2018,6,6:00 AM,,163,2,3,1,8.88342,6/12/2019,6,6:00 AM
167,2,5,3,11.412,6/16/2017,12,12:00 PM,,167,2,6,3,11.8355,6/16/2018,12,12:00 PM,,164,2,4,1,8.20524,6/13/2019,6,6:00 AM
167,2,5,3,13.2878,6/16/2017,12,12:00 PM,,169,2,1,3,8.33474,6/18/2018,12,12:00 PM,,164,2,4,2,13.0499,6/13/2019,9,9:00 AM
168,2,6,3,6.99196,6/17/2017,12,12:00 PM,,170,2,2,2,8.23365,6/19/2018,9,9:00 AM,,178,2,4,2,10.0845,6/27/2019,9,9:00 AM
168,2,6,4,8.63282,6/17/2017,15,3:00 PM,,170,2,2,2,12.1439,6/19/2018,9,9:00 AM,,178,2,4,4,15.1777,6/27/2019,15,3:00 PM
170,2,1,3,11.9353,6/19/2017,12,12:00 PM,,174,2,6,1,10.6709,6/23/2018,6,6:00 AM,,179,2,5,1,8.52083,6/28/2019,6,6:00 AM
171,2,2,1,10.7798,6/20/2017,6,6:00 AM,,179,2,4,2,8.18541,6/28/2018,9,9:00 AM,,180,2,6,3,9.10957,6/29/2019,12,12:00 PM
172,2,3,1,13.2991,6/21/2017,6,6:00 AM,,179,2,4,1,9.4273,6/28/2018,6,6:00 AM,,183,2,2,1,8.93607,7/2/2019,6,6:00 AM
174,2,5,3,15.8197,6/23/2017,12,12:00 PM,,183,2,1,4,10.0611,7/2/2018,15,3:00 PM,,186,2,5,3,13.3248,7/5/2019,12,12:00 PM
175,2,6,3,7.13827,6/24/2017,12,12:00 PM,,185,2,3,3,8.49388,7/4/2018,12,12:00 PM,,192,2,4,3,12.7601,7/11/2019,12,12:00 PM
